timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
637167559,2.7474016e-08,-2.4214387e-08,5.5879354e-09,0.0,0.0,2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
637366333,2.7939677e-09,-2.0489097e-08,9.313226e-09,0.0,0.0,2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
637570108,4.6100467e-08,-2.9802322e-08,-4.656613e-10,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
637766302,3.7020072e-08,-2.6077032e-08,6.0535967e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
637968808,4.3248292e-08,-3.3527613e-08,3.7252903e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
638170098,4.749745e-08,-2.7939677e-08,1.1175871e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
638368809,3.0966476e-08,-4.0978193e-08,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
638566326,2.0023435e-08,-1.5832484e-08,0.0,0.0,0.0,2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
638765109,2.0954758e-08,-2.6077032e-08,-9.313226e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
638970104,1.8626451e-08,-1.0244548e-08,-9.313226e-10,0.0,0.0,5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
