timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
632461670,632461220,0,nan,nan,0.24925382,2.8084173,-0.7218378,-0.0027139783,-0.0017104149,0.008081913,-0.0031269777,-0.0020221372,0.028317392,-0.0031612455,-0.0031508233,0.0006665007,-0.00011949052,-0.07882997,0.14366373,-0.044346005,1.5554672,0.00041925345,-0.0019839164,1.5666031,3.647944e-05,nan,0.09226376,0.058996376,0.037975542,0.09830651,0.049339805,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
632571631,632571188,0,nan,nan,0.24859416,2.8084912,-0.7223457,-0.0027139783,-0.0017104149,0.008081913,-0.0025483153,-0.00253067,0.02698198,-0.0043151802,-0.0031508233,0.0006665007,-0.00011949052,-0.10951447,0.123986565,-0.14719763,1.5554432,0.0004193348,-0.0019997307,1.5666031,3.570232e-05,nan,0.09317744,0.05839163,0.037512593,0.09422088,0.048313893,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
632661626,632661188,0,nan,nan,0.24818635,2.8083973,-0.7225721,-0.0027139783,-0.0017104149,0.008081913,-0.0033313252,-0.003804429,0.026526326,-0.0043345517,-0.0031508233,0.0006665007,-0.00011949052,-0.13897432,-0.07789633,-0.052755307,1.5554419,0.00041936472,-0.0019935442,1.5666031,3.5779012e-05,nan,0.09379661,0.058182932,0.03710502,0.09452652,0.04837589,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
632771628,632771189,0,nan,nan,0.24782929,2.8080206,-0.72280437,-0.0027139783,-0.0017104149,0.008081913,-0.0027077126,-0.0038061154,0.025173727,-0.005029416,-0.0031508233,0.0006665007,-0.00011949052,0.074647136,0.25124872,-0.08031026,1.5555304,0.00041944545,-0.0018968058,1.5666031,3.507311e-05,nan,0.094083846,0.058112036,0.03707292,0.09024095,0.04719291,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
632861784,632861196,0,nan,nan,0.24774003,2.8077042,-0.7229698,-0.0027139783,-0.0017104149,0.008081913,-0.0024671662,-0.0038921316,0.02455707,-0.0050006495,-0.0031508233,0.0006665007,-0.00011949052,0.06721493,-0.05932434,-0.044509687,1.5555042,0.00041947252,-0.001915276,1.5666031,3.508196e-05,nan,0.094295084,0.058148228,0.03691464,0.08976948,0.047003724,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
632971660,632971211,0,nan,nan,0.24768372,2.8074458,-0.7233496,-0.0027139783,-0.0017104149,0.008081913,-0.0032730082,-0.0042919437,0.023765549,-0.005144735,-0.0031508233,0.0006665007,-0.00011949052,-0.1992716,0.061178204,0.14253555,1.5554898,0.00041955113,-0.0019188165,1.5666031,3.4506622e-05,nan,0.09439832,0.05817057,0.037048705,0.085721105,0.04577883,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
633071625,633071188,0,nan,nan,0.24754184,2.8074188,-0.723859,-0.0027139783,-0.0017104149,0.008081913,-0.0027259365,-0.002998063,0.022575779,-0.005836063,-0.0031508233,0.0006665007,-0.00011949052,0.08903219,0.15619375,0.13595429,1.5554616,0.00041977694,-0.0019367595,1.5666031,3.4619152e-05,nan,0.09471899,0.058941547,0.03732525,0.08555967,0.04567043,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
633161711,633161187,0,nan,nan,0.2472902,2.8075764,-0.7243293,-0.0027139783,-0.0017104149,0.008081913,-0.001814174,-0.0037585062,0.022736838,-0.0051707495,-0.0031508233,0.0006665007,-0.00011949052,0.1947167,-0.1724925,-0.021263825,1.555436,0.00041945634,-0.001954499,1.5666031,3.4034616e-05,nan,0.094542146,0.057689264,0.036892273,0.08112893,0.044198915,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
633271654,633271211,0,nan,nan,0.24691398,2.807998,-0.7250383,-0.0027139783,-0.0017104149,0.008081913,-0.0011046834,-0.002836028,0.021548485,-0.005874001,-0.0031508233,0.0006665007,-0.00011949052,-0.19386731,-0.015118638,-0.06840395,1.5554606,0.0004198789,-0.0019227695,1.5666031,3.424427e-05,nan,0.09512937,0.058921214,0.037457995,0.08134454,0.04419851,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
633361658,633361211,0,nan,nan,0.24657024,2.8083563,-0.7255554,-0.0027139783,-0.0017104149,0.008081913,-0.0016998914,-0.0029753523,0.020575311,-0.006334855,-0.0031508233,0.0006665007,-0.00011949052,0.05988151,0.032200452,-0.062467508,1.5554543,0.00041955788,-0.0019236527,1.5666031,3.428851e-05,nan,0.09539133,0.05887313,0.037407577,0.08057147,0.043846194,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
