timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
643057537,643057437,0.0,0.0,-0.48558053
643061287,643061188,0.0,0.0,-0.48558053
643065076,643064978,0.0,0.0,-0.48558053
643068787,643068687,0.0,0.0,-0.48766598
643071280,643071188,0.0,0.0,-0.48766598
643075079,643074980,0.0,0.0,-0.48766598
643078785,643078687,0.0,0.0,-0.49623722
643082530,643082438,0.0,0.0,-0.49623722
643086277,643086187,0.0,0.0,-0.49623722
643088786,643088687,0.0,0.0,-0.49889654
643092537,643092437,0.0,0.0,-0.49889654
643096312,643096211,0.0,0.0,-0.49889654
643100080,643099980,0.0,0.0,-0.5072334
643103787,643103687,0.0,0.0,-0.5072334
643106291,643106188,0.0,0.0,-0.5072334
643110078,643109979,0.0,0.0,-0.509874
643113786,643113687,0.0,0.0,-0.509874
643117537,643117437,0.0,0.0,-0.5181391
643121287,643121188,0.0,0.0,-0.5181391
643123787,643123688,0.0,0.0,-0.5181391
643127536,643127437,0.0,0.0,-0.51955944
643131286,643131188,0.0,0.0,-0.51955944
643135087,643134980,0.0,0.0,-0.51955944
643138787,643138687,0.0,0.0,-0.52842927
643141311,643141212,0.0,0.0,-0.52842927
643145079,643144979,0.0,0.0,-0.52842927
643148779,643148687,0.0,0.0,-0.52973616
643152536,643152437,0.0,0.0,-0.52973616
643156309,643156210,0.0,0.0,-0.52973616
643158785,643158687,0.0,0.0,-0.53113794
643162536,643162437,0.0,0.0,-0.53113794
643166280,643166188,0.0,0.0,-0.53113794
643170077,643169979,0.0,0.0,-0.530908
643173787,643173687,0.0,0.0,-0.530908
643176287,643176188,0.0,0.0,-0.530908
643180074,643179977,0.0,0.0,-0.5315182
643183787,643183687,0.0,0.0,-0.5315182
643187538,643187438,0.0,0.0,-0.53182524
643191288,643191187,0.0,0.0,-0.53182524
643193791,643193692,0.0,0.0,-0.53182524
643197535,643197437,0.0,0.0,-0.5306803
643201303,643201211,0.0,0.0,-0.5306803
643205080,643204980,0.0,0.0,-0.5306803
643208787,643208687,0.0,0.0,-0.53094524
643211291,643211190,0.0,0.0,-0.53094524
643215077,643214979,0.0,0.0,-0.53094524
643218784,643218687,0.0,0.0,-0.5308223
643222536,643222437,0.0,0.0,-0.5308223
643226287,643226188,0.0,0.0,-0.5308223
643228785,643228687,0.0,0.0,-0.5307259
643232531,643232438,0.0,0.0,-0.5307259
643236279,643236187,0.0,0.0,-0.5307259
643240075,643239978,0.0,0.0,-0.52963924
643243787,643243687,0.0,0.0,-0.52963924
643246307,643246210,0.0,0.0,-0.52963924
643250089,643249980,0.0,0.0,-0.5292278
643253792,643253688,0.0,0.0,-0.5292278
643257535,643257437,0.0,0.0,-0.52806455
643261310,643261211,0.0,0.0,-0.52806455
643263787,643263688,0.0,0.0,-0.52806455
643267535,643267437,0.0,0.0,-0.5281181
643271290,643271190,0.0,0.0,-0.5281181
643275082,643274981,0.0,0.0,-0.5281181
643278786,643278687,0.0,0.0,-0.5271285
643281287,643281188,0.0,0.0,-0.5271285
643285083,643284978,0.0,0.0,-0.5271285
643288785,643288687,0.0,0.0,-0.5266214
643292538,643292438,0.0,0.0,-0.5266214
643296286,643296188,0.0,0.0,-0.5266214
643298778,643298687,0.0,0.0,-0.5265384
643302538,643302438,0.0,0.0,-0.5265384
643306310,643306210,0.0,0.0,-0.5265384
643310082,643309980,0.0,0.0,-0.5268621
643313787,643313687,0.0,0.0,-0.5268621
643316280,643316188,0.0,0.0,-0.5268621
643320079,643319980,0.0,0.0,-0.5254866
643323787,643323687,0.0,0.0,-0.5254866
643327538,643327437,0.0,0.0,-0.5254679
643331287,643331188,0.0,0.0,-0.5254679
643333786,643333687,0.0,0.0,-0.5254679
643337538,643337438,0.0,0.0,-0.52495104
643341288,643341188,0.0,0.0,-0.52495104
643345075,643344978,0.0,0.0,-0.52495104
643348777,643348687,0.0,0.0,-0.5250817
643351302,643351211,0.0,0.0,-0.5250817
643355080,643354980,0.0,0.0,-0.5250817
643358785,643358687,0.0,0.0,-0.5253816
643362536,643362437,0.0,0.0,-0.5253816
643366309,643366210,0.0,0.0,-0.5253816
643368785,643368687,0.0,0.0,-0.52617055
643372536,643372437,0.0,0.0,-0.52617055
643376287,643376188,0.0,0.0,-0.52617055
643380080,643379980,0.0,0.0,-0.52493894
643383787,643383687,0.0,0.0,-0.52493894
643386279,643386188,0.0,0.0,-0.52493894
643390075,643389978,0.0,0.0,-0.52497953
643393787,643393687,0.0,0.0,-0.52497953
643397537,643397438,0.0,0.0,-0.5253911
643401281,643401188,0.0,0.0,-0.5253911
643403786,643403687,0.0,0.0,-0.5253911
643407537,643407437,0.0,0.0,-0.52431506
643411310,643411211,0.0,0.0,-0.52431506
643415080,643414980,0.0,0.0,-0.52431506
643418787,643418687,0.0,0.0,-0.52310216
643421289,643421188,0.0,0.0,-0.52310216
643425080,643424980,0.0,0.0,-0.52310216
643428785,643428687,0.0,0.0,-0.5236988
643432536,643432437,0.0,0.0,-0.5236988
643436279,643436188,0.0,0.0,-0.5236988
643438786,643438687,0.0,0.0,-0.5226468
643442538,643442438,0.0,0.0,-0.5226468
643446287,643446188,0.0,0.0,-0.5226468
643450083,643449978,0.0,0.0,-0.52279305
643453786,643453687,0.0,0.0,-0.52279305
643456308,643456210,0.0,0.0,-0.52279305
643460082,643459979,0.0,0.0,-0.52321583
643463786,643463688,0.0,0.0,-0.52321583
