timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
632670138,632669979,-0.111431375,-0.061937414,-9.831595
632720147,632719979,-0.12775442,-0.10868209,-9.830341
632770139,632769979,-0.12746054,-0.029363576,-9.915682
632820141,632819980,-0.19359948,-0.1283013,-9.820818
632865140,632864980,-0.09656634,0.0041278484,-9.781802
632920136,632919978,-0.11608156,-0.062025934,-9.79069
632970141,632969980,-0.10153343,-0.10356894,-9.847973
633020143,633019980,-0.092918344,-0.11721645,-9.772479
633070139,633069979,-0.06757563,-0.10279072,-9.827883
633120142,633119980,-0.07803077,-0.16240714,-9.803447
633170143,633169982,-0.13554677,-0.08259973,-9.799652
633215148,633214979,-0.08131975,-0.07532165,-9.736004
633270140,633269980,-0.11749192,-0.062044557,-9.793768
633320144,633319979,-0.12284933,-0.06461566,-9.833401
633370140,633369979,-0.09022728,-0.0049937647,-9.815218
633420143,633419980,-0.082859986,0.011917959,-9.865273
633470142,633469979,-0.08683409,0.08049272,-9.797736
633520141,633519980,-0.13831463,0.004289677,-9.858513
633565147,633564979,-0.13219741,-0.06809402,-9.8162775
633620136,633619978,-0.17001967,-0.0078075496,-9.792857
633670141,633669980,-0.11831245,-0.1351256,-9.869704
633720139,633719980,-0.10779479,0.054178845,-9.750298
633770137,633769978,-0.07997497,-0.06015176,-9.794996
633820140,633819980,-0.075671084,-0.14375745,-9.787556
633870140,633869979,-0.08381606,0.0025766022,-9.837912
633915151,633914979,-0.08550863,-0.023547472,-9.7856655
633970139,633969979,-0.0723125,-0.08534749,-9.706515
634020141,634019980,-0.14247422,0.09223051,-9.731467
634070135,634069978,-0.12971956,-0.0039131753,-9.729794
634120149,634119980,-0.3622979,0.06376241,-9.811275
634170136,634169978,-0.20378257,0.065368146,-9.891281
634220140,634219980,-0.19608429,-0.0652578,-9.90328
634265141,634264980,-0.23543984,-0.028897507,-9.827294
634320136,634319978,-0.14205474,-0.08214121,-9.872685
634370150,634369980,-0.18677936,-0.010832299,-9.754598
634420143,634419979,-0.16215298,0.06164202,-9.638022
634470138,634469978,-0.09464558,-0.06095743,-9.716726
634520149,634519980,-0.090437934,-0.019818954,-9.708499
634570141,634569980,-0.1180841,-0.15653463,-10.147528
634615149,634614980,0.13286434,0.015777925,-9.766028
634670145,634669979,-0.080342926,0.08724544,-9.833574
634720136,634719978,-0.16074368,-0.2594167,-9.857981
634770148,634769980,-0.46445888,-0.08579057,-10.081582
634820143,634819982,0.0011939888,0.6284963,-9.716442
634870139,634869979,-0.14175698,0.015307488,-10.511675
634920144,634919980,-0.35766515,0.73476535,-10.102067
634965143,634964980,0.013348046,0.31077823,-9.171061
635020142,635019978,0.2326614,0.504366,-10.338144
635070147,635069980,-0.014378962,0.05593666,-10.256409
635120141,635119979,-0.82139534,0.6889129,-10.583869
635170138,635169978,-1.0149335,-0.17254008,-10.855132
