timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
643951759,643761188,0.0,0.0,0.0,0.0,0.0,0.0,0.013136888,0.0131367,0.011744365,0.012113998,0.012113942,0.011615247,0.0,12.368155,0.0,0.0,0.0,0.0,0.0,0.0,0.10044152,0.0,0.0,0.0,1.0000175,1.0000176,1.0,0.0,0.0,0.0,0.0,0.0,0.0
644451771,644261188,0.0,0.0,0.0,0.0,0.0,0.0,0.0131296385,0.013128238,0.011740364,0.012112034,0.012111974,0.011615299,0.0,12.368205,0.0,0.0,0.0,0.0,0.0,0.0,0.10044223,0.0,0.0,0.0,1.0000175,1.0000176,1.0,0.0,0.0,0.0,0.0,0.0,0.0
644951748,644761211,0.0,0.0,0.0,0.0,0.0,0.0,0.01313704,0.013131354,0.011738209,0.012110999,0.012110592,0.011614696,0.0,12.368004,0.0,0.0,0.0,0.0,0.0,0.0,0.100442916,0.0,0.0,0.0,1.0000176,1.0000176,1.0,0.0,0.0,0.0,0.0,0.0,0.0
645451779,645261188,0.0,0.0,0.0,0.0,0.0,0.0,0.013176663,0.013132311,0.011737966,0.012114216,0.012110759,0.01161381,0.0,12.368051,0.0,0.0,0.0,0.0,0.0,0.0,0.10044329,0.0,0.0,0.0,1.0000175,1.0000176,1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
645951738,645761188,0.0,0.0,0.0,0.0,0.0,0.0,0.013232591,0.013136035,0.011739192,0.012125134,0.012111462,0.011613522,0.0,12.368099,0.0,0.0,0.0,0.0,0.0,0.0,0.10044248,0.0,0.0,0.0,1.0000175,1.0000176,1.0,0.0,0.0,0.0,0.0,0.0,0.0
646451741,646261211,0.0,0.0,0.0,0.0,0.0,0.0,0.016767977,0.02169663,0.02125004,0.012067834,0.0120946765,0.011660551,0.0,12.3678875,0.0,0.0,0.0,0.0,0.0,0.0,0.10043606,0.0,0.0,0.0,1.0000174,1.0000036,1.0000142,0.0,0.0,0.0,0.0,0.0,0.0
646951764,646761191,0.0,0.0,0.0,0.0,0.0,0.0,0.016071294,0.018185738,0.017581431,0.012522174,0.0129312975,0.012779186,0.0,12.368926,0.0,0.0,0.0,0.0,0.0,0.0,0.100420915,0.0,0.0,0.0,1.0000169,1.0000095,1.0000083,0.0,0.0,0.0,0.0,0.0,0.0
647451723,647261187,0.0,0.0,0.0,0.0,0.0,0.0,0.015306572,0.0142459385,0.013759411,0.01260284,0.012688265,0.01261324,0.0,12.368962,0.0,0.0,0.0,0.0,0.0,0.0,0.10040692,0.0,0.0,0.0,1.0000168,1.0000098,1.0000075,0.0,0.0,0.0,0.0,0.0,0.0
647951762,647761210,0.0,0.0,0.0,0.0,0.0,0.0,0.01511032,0.013119321,0.012484596,0.012560146,0.012296298,0.012175589,0.0,12.368637,0.0,0.0,0.0,0.0,0.0,0.0,0.10038679,0.0,0.0,0.0,1.0000172,1.0000094,1.0000068,0.0,0.0,0.0,0.0,0.0,0.0
648451768,648261188,0.0,0.0,0.0,0.0,0.0,0.0,0.014943992,0.013030897,0.012140353,0.012539784,0.012101221,0.011906031,0.0,12.368345,0.0,0.0,0.0,0.0,0.0,0.0,0.10037039,0.0,0.0,0.0,1.0000178,1.0000093,1.0000055,0.0,0.0,0.0,0.0,0.0,0.0
648951706,648761187,0.0,0.0,0.0,0.0,0.0,0.0,0.014610775,0.013221765,0.012224289,0.012505794,0.012070642,0.012095636,0.0,12.368595,0.0,0.0,0.0,0.0,0.0,0.0,0.10035757,0.0,0.0,0.0,1.000018,1.0000083,1.0000051,0.0,0.0,0.0,0.0,0.0,0.0
649451738,649261211,0.0,0.0,0.0,0.0,0.0,0.0,0.014179742,0.0133471675,0.0130493445,0.012441742,0.012111386,0.014334487,0.0,12.370911,0.0,0.0,0.0,0.0,0.0,0.0,0.10034677,0.0,0.0,0.0,1.000018,1.0000079,1.0000046,0.0,0.0,0.0,0.0,0.0,0.0
649946653,649756210,0.0,0.0,0.0,0.0,0.0,0.0,0.0137473345,0.013314632,0.013896441,0.0123093845,0.012105656,0.018030193,0.0,12.374163,0.0,0.0,0.0,0.0,0.0,0.0,0.100336686,0.0,0.0,0.0,1.0000179,1.0000076,1.0000045,0.0,0.0,0.0,0.0,0.0,0.0
650446456,650256187,0.0,0.0,0.0,0.0,0.0,0.0,0.01356574,0.01331902,0.014638543,0.012296753,0.012161838,0.022566605,0.0,12.380033,0.0,0.0,0.0,0.0,0.0,0.0,0.10032857,0.0,0.0,0.0,1.0000179,1.0000076,1.0000045,0.0,0.0,0.0,0.0,0.0,0.0
650946469,650756187,0.0,0.0,0.0,0.0,0.0,0.0,0.013365642,0.0132607715,0.015587747,0.012225369,0.0121542495,0.030288905,0.0,12.388521,0.0,0.0,0.0,0.0,0.0,0.0,0.10031861,0.0,0.0,0.0,1.0000178,1.0000076,1.0000046,0.0,0.0,0.0,0.0,0.0,0.0
651446436,651256210,0.0,0.0,0.0,0.0,0.0,0.0,0.013252831,0.013228216,0.016563078,0.012176586,0.012143604,0.0407318,0.0,12.398222,0.0,0.0,0.0,0.0,0.0,0.0,0.100308836,0.0,0.0,0.0,1.0000179,1.0000077,1.0000048,0.0,0.0,0.0,0.0,0.0,0.0
651946458,651756188,0.0,0.0,0.0,0.0,0.0,0.0,0.0131957475,0.01322059,0.017542928,0.01214671,0.012136942,0.054134514,0.0,12.412616,0.0,0.0,0.0,0.0,0.0,0.0,0.10029941,0.0,0.0,0.0,1.0000181,1.0000079,1.0000049,0.0,0.0,0.0,0.0,0.0,0.0
652446434,652256187,0.0,0.0,0.0,0.0,0.0,0.0,0.0131704705,0.013227304,0.018527742,0.012130555,0.012135712,0.07078612,0.0,12.430321,0.0,0.0,0.0,0.0,0.0,0.0,0.10029215,0.0,0.0,0.0,1.0000182,1.000008,1.000005,0.0,0.0,0.0,0.0,0.0,0.0
652956664,652766187,0.0,0.0,0.0,0.0,0.0,0.0,0.013161962,0.01323825,0.019576116,0.012122,0.01213821,0.09386036,0.0,12.451022,0.0,0.0,0.0,0.0,0.0,0.0,0.10028694,0.0,0.0,0.0,1.0000184,1.0000082,1.000005,0.0,0.0,0.0,0.0,0.0,0.0
653446466,653256187,0.0,0.0,0.0,0.0,0.0,0.0,0.013221612,0.013348762,0.020219527,0.012120916,0.012141046,0.11122543,0.0,12.470682,0.0,0.0,0.0,0.0,0.0,0.0,0.15000024,0.0,0.0,0.0,1.000017,1.0000079,1.0000048,0.0,0.0,0.0,0.0,0.0,0.0
