timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
633305903,633304756,4395041,-0.23240747,-0.07653439,0.29184824,3
633405903,633379756,4395041,-0.23968148,-0.07081765,0.28791,3
633455898,633454756,4395041,-0.23247322,-0.06901802,0.28757316,3
633555899,633529756,4395041,-0.21970516,-0.082236886,0.287188,3
633605925,633604774,4395041,-0.22156693,-0.07657613,0.28306434,3
633705903,633679756,4395041,-0.23427711,-0.06896734,0.283484,3
633755899,633754756,4395041,-0.23596445,-0.080137536,0.27946615,3
633855899,633829756,4395041,-0.22690225,-0.083889656,0.26877725,3
633905903,633904756,4395041,-0.2431783,-0.07996679,0.26724845,3
634005903,633979766,4395041,-0.24861678,-0.07607089,0.25488308,3
634055900,634054756,4395041,-0.25040853,-0.07595242,0.24241832,3
634155898,634129756,4395041,-0.25400233,-0.07773897,0.2363502,3
634205903,634204756,4395041,-0.25036487,-0.07953097,0.22163673,3
634305923,634279765,4395041,-0.26849097,-0.06987905,0.20760722,3
634355899,634354757,4395041,-0.29004765,-0.07896144,0.2022323,3
634455899,634429756,4395041,-0.30619597,-0.086112045,0.18203443,3
634505902,634504756,4395041,-0.30084527,-0.07855361,0.16507848,3
634605903,634579756,4395041,-0.30440044,-0.08010429,0.12974833,3
634655917,634654774,4395041,-0.3441421,-0.07384397,0.099892944,3
634755898,634729756,4395041,-0.3477742,-0.06794638,0.06867613,3
634805903,634804756,4395041,-0.37648746,-0.08043193,0.03023681,3
634905903,634879756,4395041,-0.39093783,-0.07626416,-0.0047326125,3
634955899,634954756,4395041,-0.40553263,-0.057099573,-0.044011664,3
635055900,635029766,4395041,-0.6541949,-0.0856114,-0.1303754,3
635105903,635104756,4395041,-0.4847083,-0.07033216,-0.15778546,3
635205903,635179756,4395041,-0.50451803,-0.069913514,-0.1841011,3
635255898,635254756,4395041,-0.4700519,-0.064483084,-0.4420335,3
635355918,635329765,4395041,-0.42138743,-0.085984305,-0.15372336,3
635405904,635404757,4395041,-0.4665794,-0.07802867,-0.15418662,3
635505903,635479756,4395041,-0.5152898,-0.077401996,-0.16903996,3
635555898,635554756,4395041,-0.4520886,-0.08595327,-0.117073104,3
635655898,635629756,4395041,-0.54234016,-0.07692906,-0.19305766,3
635705929,635704774,4395041,-0.48440954,-0.059469916,-0.58339655,3
635805903,635779756,4395041,-0.50638163,-0.07461256,-0.060899124,3
635855899,635854756,4395041,-0.4448778,-0.081922635,-0.16330872,3
635955899,635929756,4395041,-0.4899718,-0.081217155,-0.19292009,3
636005902,636004756,4395041,-0.58199924,-0.08023383,-0.19569935,3
636105904,636079765,4395041,-0.5460991,-0.06391609,-0.17846227,3
636155899,636154756,4395041,-0.49905455,-0.073593214,-0.19887336,3
636255899,636229756,4395041,-0.5422821,-0.08056912,-0.20550866,3
636305903,636304756,4395041,-0.50623995,-0.07729397,-0.19439632,3
636405924,636379765,4395041,-0.5206863,-0.07517786,-0.20639074,3
636455899,636454756,4395041,-0.5496699,-0.06556764,-0.20126303,3
636555899,636529756,4395041,-0.5296594,-0.07255374,-0.28952315,3
636605904,636604756,4395041,-0.6938869,-0.07479764,-0.26253062,3
636705902,636679756,4395041,-0.54042804,-0.071766,-0.3747198,3
636755918,636754775,4395041,-0.55318016,-0.068675645,-0.2762113,3
636855899,636829756,4395041,-0.58894163,-0.08558972,-0.4541502,3
636905903,636904756,4395041,-0.52435833,-0.06529449,-0.26902735,3
637005910,636979756,4395041,-0.65790665,-0.059835944,-0.3099485,3
637055898,637054756,4395041,-0.79104906,-0.099796034,-0.2836324,3
637155898,637129765,4395041,-0.5008882,-0.061458886,-0.311624,3
637205903,637204756,4395041,-0.5422381,-0.0717974,-0.3683925,3
637305903,637279756,4395041,-0.58558685,-0.06758466,-0.37097996,3
637355899,637354756,4395041,-0.5964494,-0.063701,-0.3747825,3
637455920,637429765,4395041,-0.59100556,-0.06335906,-0.42513418,3
637505903,637504756,4395041,-0.60006154,-0.059592325,-0.41641393,3
637605903,637579756,4395041,-0.65055144,-0.060768344,-0.4374206,3
637655902,637654756,4395041,-0.6072024,-0.07094142,-0.39106733,3
637755899,637729756,4395041,-0.58204967,-0.06000773,-0.38794184,3
637805925,637804774,4395041,-0.61065876,-0.08570407,-0.4117326,3
637905903,637879756,4395041,-0.5999663,-0.07091444,-0.40382525,3
637955899,637954756,4395041,-0.57838756,-0.0637513,-0.39215043,3
638055899,638029756,4395041,-0.60710037,-0.074118786,-0.46194667,3
638105903,638104756,4395041,-0.59679484,-0.025928123,-0.4211018,3
638205903,638179766,4395041,-0.594648,-0.059597738,-0.4229113,3
638255898,638254756,4395041,-0.62161916,-0.0704647,-0.4323372,3
638355898,638329756,4395041,-0.6108935,-0.05933441,-0.434897,3
638405903,638404756,4395041,-0.60360414,-0.066873394,-0.43722108,3
638505923,638479765,4395041,-0.58188367,-0.078845546,-0.37110817,3
638555898,638554756,4395041,-0.53870463,-0.07256275,-0.27671695,3
638655899,638629756,4395041,-0.47374848,-0.07942964,-0.20402053,3
638705903,638704756,4395041,-0.4520787,-0.08158583,-0.19646163,3
638805903,638779756,4395041,-0.51876116,-0.082034394,-0.2878572,3
638855918,638854774,4395041,-0.5564833,-0.09836867,-0.30089307,3
638955902,638929758,4395041,-0.5114912,-0.08771952,-0.28810865,3
639005903,639004756,4395041,-0.5781742,-0.08219054,-0.42536402,3
639105903,639079756,4395041,-0.6539903,-0.071259335,-0.5248996,3
639155901,639154756,4395041,-0.66829455,-0.08819616,-0.49294525,3
639255899,639229765,4395041,-0.6306695,-0.06267456,-0.4590506,3
639305904,639304756,4395041,-0.61800945,-0.07050127,-0.4324722,3
639405904,639379756,4395041,-0.61244327,-0.083680496,-0.42823744,3
639455899,639454756,4395041,-0.5928243,-0.06347331,-0.40837142,3
639555919,639529766,4395041,-0.60536766,-0.074651904,-0.39742792,3
639605905,639604758,4395041,-0.5710989,-0.071240805,-0.4007651,3
639705903,639679756,4395041,-0.601667,-0.08218522,-0.39530754,3
639755899,639754756,4395041,-0.58933634,-0.0523865,-0.3960882,3
639855899,639829756,4395041,-0.60717523,-0.07272905,-0.40148467,3
639905923,639904774,4395041,-0.6144554,-0.06709424,-0.3950055,3
640005903,639979756,4395041,-0.5909827,-0.0692852,-0.3854314,3
640055898,640054756,4395041,-0.5928839,-0.059832465,-0.39595088,3
640155899,640129756,4395041,-0.5729591,-0.071752615,-0.33391672,3
640205904,640204756,4395041,-0.51701653,-0.07228721,-0.34024146,3
640305903,640279765,4395041,-0.71549463,-0.0595482,-0.506094,3
640355898,640354756,4395041,-0.70491713,-0.02704772,-0.60920703,3
640455899,640429756,4395041,-0.72618425,-0.056060392,-0.69563156,3
640505903,640504756,4395041,-0.7083432,-0.0417765,-0.63388324,3
640605923,640579765,4395041,-0.69000626,-0.08016457,-0.53402877,3
640655899,640654756,4395041,-0.70054966,-0.114187755,-0.4748724,3
640755899,640729756,4395041,-0.5891533,-0.075213045,-0.34788308,3
640805902,640804756,4395041,-0.5134343,-0.07268724,-0.29440644,3
640905903,640879756,4395041,-0.572772,-0.08623712,-0.3943655,3
640955918,640954775,4395041,-0.57484066,-0.060180258,-0.37569043,3
641055899,641029756,4395041,-0.5691967,-0.09274671,-0.28591448,3
641105903,641104756,4395041,-0.4882566,-0.0738046,-0.18683267,3
641205903,641179756,4395041,-0.44309407,-0.08606571,-0.11540124,3
641255899,641254756,4395041,-0.41954792,-0.09370254,-0.12664606,3
641355899,641329765,4395041,-0.5062761,-0.06705103,-0.30733287,3
