timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
644650077,0.0031941137,0.02195531,-0.027915709,0.0
644671308,0.0030559448,0.021925017,-0.027890831,0.0
644692536,0.0029704727,0.021825727,-0.027836386,0.0
644710076,0.002939041,0.021744026,-0.027762765,0.0
644731301,0.0030247597,0.02161742,-0.027645685,0.0
644751285,0.0032073588,0.02151242,-0.027530733,0.0
644768784,0.0033965604,0.02140164,-0.027420832,0.0
644790078,0.0036061474,0.021153802,-0.027260901,0.0
644811278,0.0036805766,0.02088388,-0.027093928,0.0
644832534,0.0036605312,0.020593328,-0.026892135,0.0
644850077,0.003620674,0.020502226,-0.026715811,0.0
644871286,0.0035157462,0.020484943,-0.026486915,0.0
644891289,0.0034468805,0.020507518,-0.02625167,0.0
644908784,0.0033875883,0.020579427,-0.026040368,0.0
644930089,0.0033023981,0.020684471,-0.02577216,0.0
644951287,0.003232154,0.020832174,-0.02549427,0.0
644972535,0.0031370264,0.020876504,-0.025195986,0.0
644990080,0.0030938624,0.020863933,-0.024940819,0.0
645011279,0.0030056557,0.020760799,-0.02461119,0.0
645031301,0.0029654845,0.020715384,-0.024300484,0.0
645048784,0.0029155994,0.020745168,-0.024026303,0.0
645070075,0.0028621822,0.020677809,-0.023679085,0.0
645091309,0.0028595766,0.020644544,-0.023330469,0.0
645112535,0.0028468617,0.0204365,-0.02296631,0.0
645130073,0.002895175,0.020218432,-0.022672521,0.0
645151309,0.002884171,0.020051971,-0.02230877,0.0
645171286,0.0028234674,0.019912198,-0.02196599,0.0
645188784,0.0028007333,0.019853693,-0.021658633,0.0
645210085,0.002791936,0.01984112,-0.021287723,0.0
645231285,0.002734232,0.019807322,-0.020920577,0.0
645252535,0.002659778,0.019676158,-0.020547021,0.0
645270079,0.0026784716,0.019547917,-0.020241637,0.0
645291286,0.0027005065,0.019395486,-0.019871606,0.0
645311280,0.0027183653,0.019233977,-0.01951888,0.0
645328783,0.0026894407,0.019083807,-0.019203078,0.0
645350079,0.0026706334,0.018964818,-0.018838571,0.0
645371288,0.0026686445,0.018867737,-0.018477805,0.0
645392528,0.0027359647,0.018829146,-0.018111179,0.0
645410086,0.0028514103,0.01887238,-0.017816221,0.0
645431288,0.0029910991,0.018980281,-0.017452188,0.0
645451311,0.0030984508,0.019119287,-0.017104264,0.0
645468784,0.0032266926,0.019302195,-0.016804613,0.0
645490076,0.0034200877,0.019550242,-0.016437707,0.0
645511301,0.0036452773,0.019775882,-0.016073141,0.0
645532535,0.0038077421,0.019983487,-0.015714774,0.0
645550075,0.0038712234,0.020175954,-0.015423473,0.0
645571309,0.003919651,0.020422848,-0.015078532,0.0
645591279,0.0040104603,0.020591905,-0.014764325,0.0
645608785,0.0041730083,0.020738628,-0.014499535,0.0
645630078,0.004380469,0.020978043,-0.014192204,0.0
645651286,0.0044856556,0.021256391,-0.013895472,0.0
645672535,0.0045627155,0.0214868,-0.01361971,0.0
645690078,0.0047370032,0.021624055,-0.013418516,0.0
645711278,0.005064088,0.021851711,-0.013197149,0.0
645731286,0.0053210855,0.022102984,-0.013010705,0.0
645748784,0.0054756952,0.022243025,-0.012874016,0.0
645770080,0.0056957416,0.022291154,-0.012747273,0.0
645791281,0.0057983017,0.022346498,-0.012666798,0.0
645812541,0.005662137,0.022293046,-0.01272518,0.0
645830078,0.0052635917,0.02182922,-0.013175438,0.0
645851286,0.0037848682,0.020068588,-0.0144171985,0.0
645871309,0.00055551826,0.016477223,-0.016289484,0.0
645888784,-0.0038019558,0.011775893,-0.017507222,0.0
645910084,-0.008030652,0.0044084615,-0.017507222,0.0
645931308,-0.008030652,-0.0042413394,-0.017507222,0.0
645952535,-0.008030652,-0.013589974,-0.017507222,0.0
645970077,-0.008030652,-0.021618221,-0.017507222,0.0
645991309,-0.008030652,-0.03149573,-0.017507222,0.0
646011277,-0.008030652,-0.040835913,-0.017507222,0.0
646028789,-0.008030652,-0.048964016,-0.017507222,0.0
646050078,-0.008030652,-0.058697697,-0.017507222,0.0
646071287,-0.008030652,-0.068083584,-0.017507222,0.0
646092535,-0.008030652,-0.07697819,-0.017507222,0.0
646110086,-0.008030652,-0.08382678,-0.017507222,0.0
646131285,-0.008030652,-0.09141863,-0.017507222,0.0
646151288,-0.008030652,-0.09777497,-0.017507222,0.0
646168785,-0.008030652,-0.10182102,-0.017507222,0.0
646190086,-0.008030652,-0.09735184,-0.017507222,0.0
646211290,-0.008030652,-0.092804104,-0.020200534,0.0
646232536,-0.008030652,-0.090570964,-0.022117538,0.0
646250080,-0.008030652,-0.08221713,-0.022117538,0.0
646271290,-0.008030652,-0.07302483,-0.022117538,0.0
646291300,-0.008030652,-0.06472218,-0.022117538,0.0
646308787,-0.008030652,-0.056668554,-0.022117538,0.0
646330074,-0.008030652,-0.04645264,-0.025661318,0.0
646351308,-0.008030652,-0.03630953,-0.027463224,0.0
646372528,-0.008030652,-0.026032798,-0.027463224,0.0
646390081,-0.008030652,-0.017613096,-0.027463224,0.0
646411311,-0.010928208,-0.007960383,-0.02776379,0.0
646431286,-0.010928208,-0.00013570732,-0.02738164,0.0
646448784,-0.010928208,0.008201547,-0.027379366,0.0
646470078,-0.014303276,0.012641825,-0.028046265,0.0
646491280,-0.016214669,0.018537346,-0.030157745,0.0
646512537,-0.016746484,0.019896675,-0.03324632,0.0
646530078,-0.015946869,0.01918921,-0.035958637,0.0
646551286,-0.015400322,0.01715549,-0.03914711,0.0
646571275,-0.01547208,0.017219987,-0.041296486,0.0
646588784,-0.014937932,0.018188233,-0.043075923,0.0
646610076,-0.012919538,0.019787787,-0.042264294,0.0
646631281,-0.010136658,0.022680478,-0.042264294,0.0
646652536,-0.008525036,0.026664855,-0.042264294,0.0
646670074,-0.0028926246,0.029040553,-0.042264294,0.0
646691275,-0.0012819214,0.029959679,-0.040741384,0.0
646711308,0.0009847755,0.029594725,-0.035103574,0.0
646728785,0.0021047946,0.028246917,-0.03316464,0.0
646750078,0.0021047946,0.02673959,-0.032645736,0.0
646771309,0.002705537,0.025477203,-0.032673813,0.0
646792537,0.007898991,0.024137117,-0.03258186,0.0
646810078,0.012215532,0.022843884,-0.031872034,0.0
646831309,0.0143657075,0.020420553,-0.031354234,0.0
646851285,0.01974864,0.017586287,-0.02987937,0.0
646868784,0.024978729,0.014405317,-0.028568206,0.0
646890090,0.031941768,0.009999335,-0.026603723,0.0
646911285,0.03923348,0.005346991,-0.02438785,0.0
646932537,0.04662729,0.000818632,-0.021905018,0.0
646950078,0.05271815,-0.0027958008,-0.0201114,0.0
646971281,0.060046818,-0.006894284,-0.0201114,0.0
646991274,0.066861354,-0.01057804,-0.0201114,0.0
647008784,0.07266586,-0.0137339765,-0.0201114,0.0
647030077,0.07944436,-0.017587071,-0.0201114,0.0
647051282,0.08595922,-0.02121844,-0.0201114,0.0
647072528,0.09245924,-0.024633663,-0.0201114,0.0
647090076,0.097932,-0.02743329,-0.0201114,0.0
647111284,0.10470089,-0.030439893,-0.0201114,0.0
647131309,0.11119303,-0.03299398,-0.0201114,0.0
647148784,0.11689573,-0.034812085,-0.0201114,0.0
647170085,0.123886205,-0.03688337,-0.0201114,0.0
647191311,0.1309488,-0.03878238,-0.0201114,0.0
647212537,0.1381307,-0.041088063,-0.017423691,0.0
647230078,0.14200585,-0.04311121,-0.016219687,0.0
647251308,0.14415243,-0.045794077,-0.015103921,0.0
647271279,0.14415243,-0.048204705,-0.015103921,0.0
647288784,0.14415243,-0.05035413,-0.015103921,0.0
647310073,0.14415243,-0.052611124,-0.015103921,0.0
647331283,0.14415243,-0.054830793,-0.015103921,0.0
647352528,0.14415243,-0.05701224,-0.015103921,0.0
647370089,0.14415243,-0.059004854,-0.015103921,0.0
647391284,0.14415243,-0.06153473,-0.015103921,0.0
647411288,0.14415243,-0.06399795,-0.015103921,0.0
647428785,0.14415243,-0.0661493,-0.015103921,0.0
647450078,0.14415243,-0.06865063,-0.015103921,0.0
647471278,0.14415243,-0.07113015,-0.015103921,0.0
647492536,0.14415243,-0.0735259,-0.015103921,0.0
647510079,0.14415243,-0.07558438,-0.015103921,0.0
647531286,0.14415243,-0.077957936,-0.015103921,0.0
647551309,0.14415243,-0.08024703,-0.015103921,0.0
647568783,0.14415243,-0.08208192,-0.015103921,0.0
647590078,0.14415243,-0.084309176,-0.015103921,0.0
647611309,0.14415243,-0.08614477,-0.015103921,0.0
647632537,0.14415243,-0.08784883,-0.015103921,0.0
647650078,0.14415243,-0.088947825,-0.015103921,0.0
647671299,0.14415243,-0.09016278,-0.015103921,0.0
647691283,0.14415243,-0.09120965,-0.015103921,0.0
647708785,0.14415243,-0.092283,-0.015103921,0.0
647730077,0.14415243,-0.09365502,-0.015103921,0.0
647751277,0.14415243,-0.09507565,-0.015103921,0.0
647772539,0.14415243,-0.09649313,-0.015103921,0.0
647790077,0.14415243,-0.097491734,-0.015103921,0.0
647811285,0.14415243,-0.09864419,-0.015103921,0.0
647831289,0.14415243,-0.0994645,-0.015103921,0.0
647848783,0.14415243,-0.10023206,-0.015103921,0.0
647870086,0.14415243,-0.10102934,-0.015103921,0.0
647891286,0.14415243,-0.102115974,-0.015103921,0.0
647912537,0.14415243,-0.10318679,-0.015103921,0.0
647930079,0.14415243,-0.10376359,-0.015103921,0.0
647951278,0.14415243,-0.10377225,-0.015103921,0.0
647971298,0.14415243,-0.103110276,-0.015103921,0.0
647988784,0.14415243,-0.10192239,-0.015103921,0.0
648010076,0.14415243,-0.10004383,-0.015103921,0.0
648031308,0.14546534,-0.097989865,-0.014067218,0.0
648052536,0.15285167,-0.09610535,-0.009118951,0.0
648070073,0.15894225,-0.09494757,-0.0060635232,0.0
648091308,0.16586946,-0.094232194,-0.0032809954,0.0
648111284,0.16586946,-0.094199784,-0.0032809954,0.0
648128784,0.16586946,-0.094382726,-0.0032809954,0.0
648150085,0.16586946,-0.09454175,-0.0032809954,0.0
648171285,0.16586946,-0.094354056,-0.0032809954,0.0
648192537,0.16586946,-0.09356782,-0.0032809954,0.0
648210077,0.16586946,-0.09245867,-0.0032809954,0.0
648231285,0.16586946,-0.09068663,-0.0032809954,0.0
648251278,0.16586946,-0.088808194,-0.0032809954,0.0
648268783,0.16586946,-0.087182626,-0.0032809954,0.0
648290077,0.16586946,-0.08539895,-0.0032809954,0.0
648311285,0.16586946,-0.083892114,-0.0032809954,0.0
648332531,0.16760756,-0.08260638,-0.00233972,0.0
648350090,0.16760756,-0.081651926,-0.00233972,0.0
648371287,0.16760756,-0.08058674,-0.00233972,0.0
648391307,0.16760756,-0.07963086,-0.00233972,0.0
648408787,0.16760756,-0.07877699,-0.00233972,0.0
648430077,0.16760756,-0.07769671,-0.00233972,0.0
648451303,0.16760756,-0.07655905,-0.00233972,0.0
648472538,0.16760756,-0.07531976,-0.00233972,0.0
648490074,0.16760756,-0.07415196,-0.00233972,0.0
648511310,0.16760756,-0.07250501,-0.00233972,0.0
648531278,0.16760756,-0.07072043,-0.00233972,0.0
648548783,0.16760756,-0.0690142,-0.00233972,0.0
648570080,0.16760756,-0.0669301,-0.00233972,0.0
648591288,0.16760756,-0.06506921,-0.00233972,0.0
648612537,0.16760756,-0.063606225,-0.00233972,0.0
648630077,0.16760756,-0.0627185,-0.00233972,0.0
648651279,0.16760756,-0.06190769,-0.00233972,0.0
648671282,0.16760756,-0.06121281,-0.00233972,0.0
648688784,0.16760756,-0.060501046,-0.00233972,0.0
648710075,0.16760756,-0.0593273,-0.00233972,0.0
648731277,0.16760756,-0.057737336,-0.00233972,0.0
648752534,0.16760756,-0.055795636,-0.00233972,0.0
648770074,0.16760756,-0.054103576,-0.00233972,0.0
648791283,0.16760756,-0.05218874,-0.00233972,0.0
648811309,0.16760756,-0.050649256,-0.00233972,0.0
648828784,0.17021503,-0.047203638,-0.0019627307,0.0
648850086,0.17761266,-0.042102754,-0.0011625778,0.0
648871311,0.18497674,-0.037171777,-0.0011625778,0.0
648892536,0.19233347,-0.032268118,-0.0011625778,0.0
648910078,0.19494939,-0.028143186,-0.0011625778,0.0
648931309,0.19494939,-0.022999855,-0.0011625778,0.0
648951279,0.19494939,-0.017996984,-0.0011625778,0.0
648968783,0.19494939,-0.013544672,-0.0011625778,0.0
648990080,0.19494939,-0.00814766,-0.0011625778,0.0
649011285,0.19494939,-0.0027849525,-0.0011625778,0.0
649032537,0.19494939,0.0025860737,-0.0011625778,0.0
649050086,0.19494939,0.006997344,-0.0011625778,0.0
649071286,0.19494939,0.012296476,-0.0011625778,0.0
649091283,0.19494939,0.017185496,-0.0011625778,0.0
649108784,0.19494939,0.021365374,-0.0011625778,0.0
649130083,0.19494939,0.026279403,-0.0011625778,0.0
649151283,0.19494939,0.031000713,-0.0011625778,0.0
649172540,0.19494939,0.035617977,-0.0011625778,0.0
649190074,0.19494939,0.039421458,-0.0011625778,0.0
649211282,0.19494939,0.04413183,-0.0011625778,0.0
649231301,0.19494939,0.048767675,-0.0011625778,0.0
649248784,0.19494939,0.052963667,-0.0011625778,0.0
649270078,0.19494939,0.058149498,-0.0011625778,0.0
649291308,0.19494939,0.06322767,-0.0011625778,0.0
649312529,0.19494939,0.06808855,-0.0011625778,0.0
649330085,0.19494939,0.071885645,-0.0011625778,0.0
649351308,0.19494939,0.07621494,-0.0011625778,0.0
649371286,0.19494939,0.08006308,-0.0011625778,0.0
649388783,0.19494939,0.08333562,-0.0011625778,0.0
649410078,0.19494939,0.08734776,-0.0011625778,0.0
649431279,0.19494939,0.09150357,-0.0011625778,0.0
649452537,0.19494939,0.095867485,-0.0011625778,0.0
649470079,0.19494939,0.099530876,-0.0011625778,0.0
649491286,0.19494939,0.10390763,-0.0011625778,0.0
649511275,0.19494939,0.10790424,-0.0011625778,0.0
649528784,0.19494939,0.11126932,-0.0011625778,0.0
649550074,0.19494939,0.11518994,-0.0011106428,0.0
649571283,0.19494939,0.118921824,-0.0004761108,0.0
649592536,0.19494939,0.12251359,-0.00039560292,0.0
649610075,0.19494939,0.12540975,-0.00039560292,0.0
649630325,0.19711913,0.12719113,-0.00041712917,0.0
649651576,0.19711913,0.12891884,-0.00041712917,0.0
649669076,0.19711913,0.13124046,-0.00041712917,0.0
649690326,0.19711913,0.13437533,-0.00041712917,0.0
649711577,0.19711913,0.13762769,-0.00041712917,0.0
649731576,0.19711913,0.14074488,-0.00041712917,0.0
649749076,0.19711913,0.14347826,-0.00041712917,0.0
649770325,0.19711913,0.14670427,-0.00041712917,0.0
649791577,0.19711913,0.1497265,-0.00041712917,0.0
649809079,0.19711913,0.15200001,-0.00041712917,0.0
649830330,0.19711913,0.15440172,-0.00041712917,0.0
649851576,0.19711913,0.15637064,-0.00041712917,0.0
649871575,0.19711913,0.15770754,-0.00041712917,0.0
