timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
633961825,0.2459742,2.8091903,nan,0.0,0.0,0.07117587,0.0,0.0,-2.7853906,nan,nan,8.0,1.5554209,2.3715956e-11
634171687,0.2459742,2.8091903,nan,0.0,0.0,-0.33978465,0.0,0.0,-1.1188029,nan,nan,8.0,1.5554209,2.3406205e-12
634371665,0.2459742,2.8091903,nan,0.0,0.0,-0.40736234,0.0,0.0,0.18597443,nan,nan,-8.0,1.5554209,2.5137897e-13
634551796,0.2459742,2.8091903,nan,0.0,0.0,-0.38246673,0.0,0.0,0.19388863,nan,nan,-8.0,1.5554209,3.369513e-14
634751794,0.2459742,2.8091903,nan,0.0,0.0,-0.35394275,0.0,0.0,0.16978382,nan,nan,8.0,1.5554209,3.618111e-15
634951819,0.2459742,2.8091903,nan,0.0,0.0,-0.3281251,0.0,0.0,0.0,nan,nan,0.0,1.5554209,3.8838806e-16
635171661,0.2459742,2.8091903,nan,0.0,0.0,-0.3054708,0.0,0.0,0.25649497,nan,nan,-8.0,1.5554209,3.341583e-17
635371683,0.2459742,2.8091903,nan,0.0,0.0,-0.26904628,0.0,0.0,0.27068686,nan,nan,-8.0,1.5554209,3.5871883e-18
635571662,0.2459742,2.8091903,nan,0.0,0.0,-0.25011906,0.0,0.0,0.0,nan,nan,0.0,1.5554209,3.8525412e-19
635771666,0.2459742,2.8091903,nan,0.0,0.0,-0.25557455,0.0,0.0,-0.16446277,nan,nan,8.0,1.5554209,4.1365655e-20
635951792,0.2459742,2.8091903,nan,0.0,0.0,-0.29013127,0.0,0.0,0.0,nan,nan,0.0,1.5554209,5.544865e-21
636161809,0.2459742,2.8091903,nan,0.0,0.0,-0.29690936,0.0,0.0,-0.10516827,nan,nan,8.0,1.5554209,5.290652e-22
636351792,0.2459742,2.8091903,nan,0.0,0.0,-0.32499975,0.0,0.0,-0.2236187,nan,nan,8.0,1.5554209,6.455725e-23
636571688,0.2459742,2.8091903,nan,0.0,0.0,-0.41379026,0.0,0.0,-0.45389014,nan,nan,8.0,1.5554209,5.5512832e-24
636771658,0.2459742,2.8091903,nan,0.0,0.0,-0.50918895,0.0,0.0,-0.6124514,nan,nan,8.0,1.5554209,5.962464e-25
636971652,0.2459742,2.8091903,nan,0.0,0.0,-0.5879301,0.0,0.0,0.0,nan,nan,0.0,1.5554209,6.402426e-26
637171708,0.2459742,2.8091903,nan,0.0,0.0,-0.5792231,0.0,0.0,-0.159304,nan,nan,-8.0,1.5554209,6.8708676e-27
637351836,0.2459742,2.8091903,nan,0.0,0.0,-0.5823297,0.0,0.0,-0.08393541,nan,nan,8.0,1.5554209,9.210157e-28
637551785,0.2459742,2.8091903,nan,0.0,0.0,-0.6104596,0.0,0.0,-0.160712,nan,nan,-8.0,1.5554209,9.894204e-29
637751786,0.2459742,2.8091903,nan,0.0,0.0,-0.61414367,0.0,0.0,0.0,nan,nan,0.0,1.5554209,1.062365e-29
637971661,0.2459742,2.8091903,nan,0.0,0.0,-0.61414367,0.0,0.0,0.0,nan,nan,0.0,1.5554209,9.137205e-31
638171665,0.2459742,2.8091903,nan,0.0,0.0,-0.61414367,0.0,0.0,0.0,nan,nan,0.0,1.5554209,9.8106376e-32
638371684,0.2459742,2.8091903,nan,0.0,0.0,-0.6093691,0.0,0.0,0.09154579,nan,nan,-8.0,1.5554209,1.0532343e-32
638571664,0.2459742,2.8091903,nan,0.0,0.0,-0.50060993,0.0,0.0,1.0214413,nan,nan,-8.0,1.5554209,1.1311322e-33
638751791,0.2459742,2.8091903,nan,0.0,0.0,-0.25244677,0.0,0.0,1.2052903,nan,nan,-8.0,1.5554209,1.5162439e-34
638951789,0.2459742,2.8091903,nan,0.0,0.0,-0.032559603,0.0,0.0,0.72177124,nan,nan,-8.0,1.5554209,1.628109e-35
639151819,0.2459742,2.8091903,-1.011154,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.5554209,1.7646777e-36
639371661,0.2459742,2.8091903,-1.011154,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.5554209,1.5182357e-37
639571685,0.2459742,2.8091903,-1.011154,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.5554209,1.6298103e-38
639771698,0.2459742,2.8091903,-1.011154,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.5554209,1.749757e-39
639971668,0.2459742,2.8091903,-1.011154,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.5554209,1.8794e-40
640151795,0.2459742,2.8091903,nan,0.0,0.0,-0.090396196,0.0,0.0,0.42140293,nan,nan,-8.0,1.5554209,2.5193e-41
640351844,0.2459742,2.8091903,nan,0.0,0.0,-0.16617337,0.0,0.0,-1.178989,nan,nan,-8.0,1.5554209,2.703e-42
640551822,0.2459742,2.8091903,nan,0.0,0.0,-0.44422537,0.0,0.0,-1.2536407,nan,nan,8.0,1.5554209,2.9e-43
640771691,0.2459742,2.8091903,nan,0.0,0.0,-0.5626033,0.0,0.0,0.057161614,nan,nan,-8.0,1.5554209,2.5e-44
640971660,0.2459742,2.8091903,nan,0.0,0.0,-0.54813987,0.0,0.0,0.4011491,nan,nan,8.0,1.5554209,3e-45
641171660,0.2459742,2.8091903,nan,0.0,0.0,-0.30790606,0.0,0.0,2.001165,nan,nan,8.0,1.5554209,3e-45
