timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
632371426,3407898,3407898,3407890,3407882,0,0.012837637,0.04029688,0.03378341,0.0,3407898,3407898,3407890,3407882,0,0.00031107455,0.00049078657,0.0006175175,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
632571417,3407898,3407898,3407890,3407882,0,0.01110859,0.04086228,0.03015817,0.0,3407898,3407898,3407890,3407882,0,0.00043525343,0.0006046683,0.0004596867,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
632771414,3407898,3407898,3407890,3407882,0,0.013045118,0.040387735,0.028166253,0.0,3407898,3407898,3407890,3407882,0,0.00032866836,0.0003861729,0.0004269288,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
632966402,3407898,3407898,3407890,3407882,0,0.009836902,0.04366706,0.034984242,0.0,3407898,3407898,3407890,3407882,0,0.00062334613,0.00059635425,0.0004645087,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
633166426,3407898,3407898,3407890,3407882,0,0.010788342,0.04109081,0.033066455,0.0,3407898,3407898,3407890,3407882,0,0.00040716617,0.00028784803,0.00036996018,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
633366402,3407898,3407898,3407890,3407882,0,0.014033006,0.04881225,0.03529972,0.0,3407898,3407898,3407890,3407882,0,0.0005115488,0.00046829824,0.00042736615,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
633566398,3407898,3407898,3407890,3407882,0,0.00644316,0.03987789,0.033904795,0.0,3407898,3407898,3407890,3407882,0,0.00057334657,0.00070082163,0.00030824225,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
633771411,3407898,3407898,3407890,3407882,0,0.0027619535,0.030018814,0.028095674,0.0,3407898,3407898,3407890,3407882,0,0.0005223583,0.0005100833,0.0003306803,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
633971419,3407898,3407898,3407890,3407882,0,0.018258736,0.030281356,0.032107968,0.0,3407898,3407898,3407890,3407882,0,0.00022387454,0.00046409643,0.00039255025,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
634171434,3407898,3407898,3407890,3407882,0,0.023638554,0.029172353,0.03062478,0.0,3407898,3407898,3407890,3407882,0,0.00081090804,0.00079022936,0.0005474897,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
634371412,3407898,3407898,3407890,3407882,0,0.012637945,0.033268366,0.029172692,0.0,3407898,3407898,3407890,3407882,0,0.0011479195,0.0008713812,0.0005129747,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
634566418,3407898,3407898,3407890,3407882,0,0.035340574,0.04699784,0.0671703,0.0,3407898,3407898,3407890,3407882,0,0.0010449113,0.00069625897,0.00065694813,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
634766411,3407898,3407898,3407890,3407882,0,0.03728116,0.08346001,0.05302101,0.0,3407898,3407898,3407890,3407882,0,0.0012375485,0.00095992826,0.0009020336,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
634966433,3407898,3407898,3407890,3407882,0,0.1331622,0.08895686,0.04613624,0.0,3407898,3407898,3407890,3407882,0,0.0026332971,0.001399833,0.0014397294,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
635171410,3407898,3407898,3407890,3407882,0,0.28643894,0.09758721,0.24198148,0.0,3407898,3407898,3407890,3407882,0,0.0042950637,0.0013364593,0.0029776501,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
635371433,3407898,3407898,3407890,3407882,0,0.07481676,0.10543478,0.11693912,0.0,3407898,3407898,3407890,3407882,0,0.0023417547,0.001139924,0.0015530057,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
635571410,3407898,3407898,3407890,3407882,0,0.19557631,0.13572721,0.1301246,0.0,3407898,3407898,3407890,3407882,0,0.0014838263,0.0016292417,0.00064599,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
635771411,3407898,3407898,3407890,3407882,0,0.053429537,0.13709019,0.1269478,0.0,3407898,3407898,3407890,3407882,0,0.0014961961,0.00038989537,0.0013638986,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
635966419,3407898,3407898,3407890,3407882,0,0.105321094,0.19532515,0.14469218,0.0,3407898,3407898,3407890,3407882,0,0.0025946037,0.00097253115,0.0021162813,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
636166433,3407898,3407898,3407890,3407882,0,0.09840447,0.10224841,0.11043945,0.0,3407898,3407898,3407890,3407882,0,0.0022971607,0.001215633,0.0013219564,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
636366411,3407898,3407898,3407890,3407882,0,0.12631536,0.164184,0.08465757,0.0,3407898,3407898,3407890,3407882,0,0.0018436657,0.0011881599,0.0013201718,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
636571433,3407898,3407898,3407890,3407882,0,0.13721246,0.13426204,0.020721612,0.0,3407898,3407898,3407890,3407882,0,0.0018040233,0.0006640884,0.0014063286,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
636771405,3407898,3407898,3407890,3407882,0,0.17582926,0.117471166,0.064427726,0.0,3407898,3407898,3407890,3407882,0,0.0018330028,0.0009568058,0.0016003257,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
636971402,3407898,3407898,3407890,3407882,0,0.11097718,0.08282767,0.12390593,0.0,3407898,3407898,3407890,3407882,0,0.0037926317,0.0017533187,0.0023996176,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
637171427,3407898,3407898,3407890,3407882,0,0.14516342,0.051441602,0.12170192,0.0,3407898,3407898,3407890,3407882,0,0.0007039874,0.0020490822,0.0015506081,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
637366440,3407898,3407898,3407890,3407882,0,0.035773613,0.061394528,0.076563746,0.0,3407898,3407898,3407890,3407882,0,0.002401131,0.0015703582,0.0014041087,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
637566410,3407898,3407898,3407890,3407882,0,0.16124122,0.091238365,0.12541027,0.0,3407898,3407898,3407890,3407882,0,0.0022648366,0.0010072148,0.0013161295,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
637766408,3407898,3407898,3407890,3407882,0,0.08514101,0.04046323,0.07502916,0.0,3407898,3407898,3407890,3407882,0,0.0010432098,0.0006930958,0.0006587402,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
637971411,3407898,3407898,3407890,3407882,0,0.081991784,0.077974565,0.07535824,0.0,3407898,3407898,3407890,3407882,0,0.0006177624,0.00072856847,0.0005053468,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
