timestamp,timestamp_sample,roll,pitch,yaw,throttle,flaps,aux1,aux2,aux3,aux4,aux5,aux6,buttons,valid,data_source,sticks_moving
636297696,636296731,0.0,-0.0,0.0,0.32272732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636319400,636318418,0.0,-0.0,0.0,0.32500005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636341006,636340022,0.0,-0.0,0.0,0.32727277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636363071,636362007,0.0,-0.0,0.0,0.3295455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636384886,636383910,0.0,-0.0,0.0,0.33181822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636406572,636405505,0.0,-0.0,0.0,0.3363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636428179,636427209,0.0,-0.0,0.0,0.34318188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636450000,636449001,0.0,-0.0,0.0,0.35681823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636472213,636470679,0.0,-0.0,0.0,0.3636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636494001,636493012,0.0,-0.0,0.0,0.37500006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
636537199,636536234,0.0,-0.0,0.0,0.3795455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636558934,636557895,0.0,-0.0,0.0,0.3863637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636602205,636601238,0.0,-0.0,0.0,0.39318186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636624003,636623018,0.0,-0.0,0.0,0.3954546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636654142,636652753,0.0,-0.0,0.0,0.4113637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636675749,636674766,0.0,-0.0,0.0,0.41818187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636697480,636696501,0.0,-0.0,0.0,0.42500004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
