timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
634305900,634304774,4395041,-0.30161434,-0.07819632,0.13892153,nan,0
634405882,634404756,4395041,-0.33512706,-0.08191995,0.12666374,nan,0
634505882,634504756,4395041,-0.33140343,-0.07819632,0.102148175,nan,0
634605882,634604756,4395041,-0.338844,-0.089365445,0.057194788,nan,0
634705891,634704756,4395041,-0.36863247,-0.074471205,0.01634137,nan,0
634805882,634804756,4395041,-0.40959162,-0.08191832,-0.03268274,nan,0
634905883,634904756,4395041,-0.4393976,-0.081921585,-0.08173025,nan,0
635005901,635004775,4395041,-0.94580305,-0.10798539,-0.23698378,nan,0
635105882,635104756,4395041,-0.5213192,-0.07447417,-0.22067167,nan,0
635205882,635204756,4395041,-0.54736334,-0.08191832,-0.24512053,nan,0
635305882,635304757,4395041,-0.4766347,-0.10798755,-0.24519075,nan,0
635405883,635404757,4395041,-0.5026906,-0.08191995,-0.21655414,nan,0
635505883,635504756,4395041,-0.5473742,-0.08936722,-0.23289785,nan,0
635605882,635604756,4395041,-0.6367288,-0.07819477,-0.35542476,nan,0
635705909,635704774,4395041,-0.5212984,-0.06702408,-0.63731337,nan,0
635805883,635804756,4395041,-0.44310367,-0.089365445,-0.13890164,nan,0
635905883,635904756,4395041,-0.5287561,-0.09681449,-0.26967117,nan,0
636005882,636004756,4395041,-0.6218346,-0.08564189,-0.2614619,nan,0
636105883,636104757,4395041,-0.6404779,-0.07447417,-0.24110423,nan,0
636205883,636204756,4395041,-0.5734169,-0.08564018,-0.29001778,nan,0
636305882,636304756,4395041,-0.5436398,-0.08191832,-0.25737655,nan,0
636405901,636404775,4395041,-0.55479944,-0.08564018,-0.27367875,nan,0
636505883,636504757,4395041,-0.5510869,-0.09308901,-0.2818886,nan,0
636605883,636604756,4395041,-0.7372796,-0.08191995,-0.33096012,nan,0
636705881,636704756,4395041,-0.59578145,-0.08936722,-0.5270846,nan,0
636805882,636804756,4395041,-0.62930673,-0.09309272,-0.60480386,nan,0
636905882,636904756,4395041,-0.56228,-0.07075047,-0.33100748,nan,0
637005884,637004756,4395041,-0.8601595,-0.06330178,-0.4085927,nan,0
637105901,637104775,4395041,-0.50640416,-0.07819477,-0.36768082,nan,0
637205882,637204756,4395041,-0.5808869,-0.07819632,-0.42902237,nan,0
637305882,637304756,4395041,-0.610676,-0.07447268,-0.4045068,nan,0
637405882,637404756,4395041,-0.61813563,-0.07075047,-0.47403544,nan,0
637505883,637504756,4395041,-0.6404651,-0.067025416,-0.47805345,nan,0
637605882,637604756,4395041,-0.68514866,-0.067025416,-0.46988162,nan,0
637705882,637704756,4395041,-0.6106882,-0.052131917,-0.44542983,nan,0
637805900,637804774,4395041,-0.651662,-0.093094565,-0.47410333,nan,0
637905882,637904756,4395041,-0.66280687,-0.104261756,-0.46170977,nan,0
638005882,638004756,4395041,-0.6330178,-0.070749044,-0.563858,nan,0
638105882,638104756,4395041,-0.63675416,-0.03351338,-0.48220846,nan,0
638205882,638204757,4395041,-0.62929416,-0.07447268,-0.48622534,nan,0
638305882,638304756,4395041,-0.6442016,-0.07819788,-0.4903815,nan,0
638405882,638404756,4395041,-0.6442144,-0.074475646,-0.49862593,nan,0
638505900,638504774,4395041,-0.6330305,-0.07075047,-0.40456474,nan,0
638605882,638604757,4395041,-0.5176058,-0.08192322,-0.29427105,nan,0
638705882,638704756,4395041,-0.4878058,-0.0856453,-0.25745028,nan,0
638805882,638804756,4395041,-0.57345116,-0.0856453,-0.38413215,nan,0
638905883,638904756,4395041,-0.5548215,-0.093090855,-0.31461638,nan,0
639005882,639004756,4395041,-0.6181233,-0.08936722,-0.48622534,nan,0
639105882,639104756,4395041,-0.69259596,-0.08564358,-0.6047172,nan,0
639205900,639204774,4395041,-0.68514866,-0.07447268,-0.5270846,nan,0
639305883,639304756,4395041,-0.6591095,-0.07819943,-0.49453884,nan,0
639405883,639404757,4395041,-0.65908325,-0.104261756,-0.48622534,nan,0
639505882,639504757,4395041,-0.65538573,-0.085647,-0.45775494,nan,0
639605884,639604758,4395041,-0.6106882,-0.07819788,-0.46177587,nan,0
639705882,639704756,4395041,-0.651649,-0.07819788,-0.46177587,nan,0
639805883,639804756,4395041,-0.651649,-0.081921585,-0.46586242,nan,0
639905900,639904774,4395041,-0.6553727,-0.07447417,-0.45768937,nan,0
640005882,640004756,4395041,-0.6442016,-0.07447417,-0.44134334,nan,0
640105882,640104756,4395041,-0.63675416,-0.081921585,-0.44951636,nan,0
640205882,640204756,4395041,-0.5548436,-0.07819943,-0.40053558,nan,0
640305882,640304756,4395041,-0.6739912,-0.07447417,-0.6211499,nan,0
640405882,640404756,4395041,-0.7484654,-0.07447417,-0.75600475,nan,0
640505882,640504756,4395041,-0.75220406,-0.052132953,-0.6948066,nan,0
640605900,640604774,4395041,-0.7447565,-0.10054212,-0.60489047,nan,0
640705882,640704756,4395041,-0.66654384,-0.08936901,-0.44542983,nan,0
640805882,640804756,4395041,-0.5511089,-0.07819788,-0.35552657,nan,0
640905882,640904756,4395041,-0.64049053,-0.10798969,-0.46592912,nan,0
641005882,641004756,4395041,-0.651662,-0.10054212,-0.40053558,nan,0
641105882,641104756,4395041,-0.5250429,-0.07819788,-0.24927726,nan,0
641205882,641204756,4395041,-0.45430148,-0.093094565,-0.1634839,nan,0
641305900,641304774,4395041,-0.5176058,-0.063304305,-0.3228807,nan,0
641405882,641404756,4395041,-0.64049053,-0.08192322,-0.47819045,nan,0
641505883,641504756,4395041,-0.69634736,-0.074475646,-0.60489047,nan,0
641605883,641604756,4395041,-0.6591226,-0.104267985,-0.5191358,nan,0
641705882,641704756,4395041,-0.6851624,-0.104263835,-0.4903815,nan,0
641805882,641804756,4395041,-0.65538573,-0.07075187,-0.46592912,nan,0
641905883,641904757,4395041,-0.6367668,-0.052132953,-0.47001624,nan,0
642005901,642004775,4395041,-0.6591357,-0.08192648,-0.45788607,nan,0
642105883,642104756,4395041,-0.62559545,-0.063304305,-0.46184203,nan,0
642205882,642204756,4395041,-0.6144241,-0.063304305,-0.45775494,nan,0
642305883,642304756,4395041,-0.6218594,-0.0856453,-0.44134334,nan,0
642405882,642404756,4395041,-0.6442144,-0.10054212,-0.5068001,nan,0
642505882,642504756,4395041,-0.77453136,-0.11915868,-0.6742745,nan,0
642605883,642604756,4395041,-0.7000711,-0.07819943,-0.6457614,nan,0
642705901,642704775,4395041,-0.62559545,-0.10798969,-0.47001624,nan,0
642805882,642804756,4395041,-0.56226873,-0.067025416,-0.41676456,nan,0
642905882,642904756,4395041,-0.5771863,-0.05958052,-0.3392291,nan,0
643005883,643004756,4395041,-0.55855626,-0.08936901,-0.24110423,nan,0
643105883,643104756,4395041,-0.5808985,-0.07819788,-0.41682425,nan,0
643205882,643204756,4395041,-0.6814929,-0.10427214,-0.5683508,nan,0
643305883,643304757,4395041,-0.6367921,-0.07820254,-0.47423914,nan,0
643405900,643404774,4395041,-0.65168786,-0.09309827,-0.47832742,nan,0
643505882,643504756,4395041,-0.6740047,-0.12660861,-0.47001624,nan,0
643605883,643604756,4395041,-0.64050335,-0.11543956,-0.46190822,nan,0
643705883,643704756,4395041,-0.65163594,-0.104261756,-0.47396755,nan,0
643805888,643804762,4395041,-0.65538573,-0.10054212,-0.45775494,nan,0
643905882,643904756,4395041,-0.62188405,-0.08564871,-0.45373282,nan,0
644005882,644004756,4395041,-0.6442529,-0.10799614,-0.45386282,nan,0
644105900,644104774,4395041,-0.5920932,-0.08192485,-0.45373282,nan,0
644205883,644204756,4395041,-0.62558305,-0.09309272,-0.46177587,nan,0
644305882,644304756,4395041,-0.6404779,-0.08936901,-0.46177587,nan,0
644405882,644404756,4395041,-0.6367795,-0.111715704,-0.47825894,nan,0
644505888,644504756,4395041,-0.6404779,-0.12288238,-0.4903815,nan,0
644605882,644604756,4395041,-0.59954095,-0.10054413,-0.45373282,nan,0
644705882,644704756,4395041,-0.6144241,-0.07819943,-0.46184203,nan,0
644805901,644804775,4395041,-0.6442272,-0.09309641,-0.45373282,nan,0
644905883,644904756,4395041,-0.6330556,-0.09682027,-0.46190822,nan,0
645005882,645004756,4395041,-0.62931925,-0.10054212,-0.46184203,nan,0
645105882,645104756,4395041,-0.64796394,-0.08192648,-0.4660626,nan,0
645205883,645204756,4395041,-0.6367921,-0.11171792,-0.46197435,nan,0
645305882,645304756,4395041,-0.6628465,-0.11916342,-0.47008356,nan,0
645405883,645404757,4395041,-0.64050335,-0.11916342,-0.45782053,nan,0
645505901,645504775,4395041,-0.66654384,-0.08936901,-0.46177587,nan,0
