timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
635762991,635572730,1077891,0.00019657551,0.0025735532,0.0035583382,0,0.059141617,0.037270904,0.014096867,nan,0.012056215,0.015105713,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
635962989,635772729,1077891,0.00027732836,0.00485796,0.006922266,0,0.059403133,0.037358847,0.018472323,nan,0.014965144,0.017263256,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
636162988,635972730,1077891,0.00030133085,0.007178461,0.010336078,0,0.059568923,0.037424054,0.013066528,nan,0.014400736,0.026927033,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
636363030,636172729,1077891,0.000292386,0.009138975,0.0136222495,0,0.05967225,0.037470073,0.010565098,nan,0.01467182,0.037977252,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
636562990,636372729,1077891,0.00026806892,0.010154551,0.015791211,0,0.05973276,0.037501022,0.0093057705,nan,0.021133369,0.04315173,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
636762995,636572774,1077891,0.0002581627,0.010928014,0.017338743,0,0.05977109,0.037522197,0.01330908,nan,0.014224186,0.04730634,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
636963008,636772729,1077891,0.00027780983,0.011040543,0.017595887,0,0.05979066,0.037532836,0.013797208,nan,0.02121297,0.046988368,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
637162992,636972730,1077891,0.0003395298,0.010817564,0.016904024,0,0.059822638,0.03753944,0.0016045084,nan,0.032598197,0.05736751,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
637362989,637172730,1077891,0.00041986455,0.011207922,0.016940752,0,0.05981796,0.037542503,0.00082062726,nan,0.035131734,0.061800726,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
637563016,637372730,1077891,0.00044913415,0.010760469,0.01583223,0,0.05977331,0.037541594,0.0033115842,nan,0.032940287,0.0671824,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
