timestamp,timestamp_sample,device_id,pressure,temperature,error_count
649432980,649432033,6780433,101100.14,38.95,0
649519554,649518599,6780433,101102.66,38.96,0
649606146,649605200,6780433,101098.875,38.96,0
649736046,649735100,6780433,101100.14,38.96,0
649822646,649821700,6780433,101100.39,38.96,0
649909257,649908311,6780433,101101.15,38.96,0
650039178,650038229,6780433,101099.39,38.96,0
650125748,650124801,6780433,101098.875,38.96,0
650212346,650211399,6780433,101102.91,38.969997,0
650298946,650298000,6780433,101099.89,38.96,0
650428883,650427937,6780433,101100.64,38.969997,0
650515462,650514516,6780433,101098.125,38.96,0
650602067,650601100,6780433,101099.14,38.969997,0
650731946,650730999,6780433,101097.875,38.969997,0
650818546,650817600,6780433,101099.39,38.96,0
650905146,650904200,6780433,101100.64,38.969997,0
651035082,651034135,6780433,101097.62,38.969997,0
651121647,651120700,6780433,101097.12,38.969997,0
651208245,651207299,6780433,101097.875,38.98,0
651338157,651337210,6780433,101102.66,38.98,0
651424746,651423800,6780433,101097.12,38.98,0
651511346,651510400,6780433,101101.4,38.98,0
651597980,651597033,6780433,101097.875,38.98,0
651727937,651726899,6780433,101097.12,38.98,0
651814446,651813500,6780433,101097.875,38.98,0
651901046,651900100,6780433,101101.15,38.989998,0
652030980,652030033,6780433,101097.37,38.989998,0
652117583,652116636,6780433,101096.11,38.98,0
652204147,652203201,6780433,101100.14,38.989998,0
652334132,652333101,6780433,101100.39,38.989998,0
652420645,652419699,6780433,101098.625,38.989998,0
652507248,652506302,6780433,101099.64,39.0,0
652637173,652636227,6780433,101098.625,39.0,0
652723829,652722882,6780433,101100.4,39.0,0
652810386,652809400,6780433,101098.125,39.0,0
652940251,652939300,6780433,101099.39,39.0,0
653026847,653025900,6780433,101095.11,39.0,0
653113468,653112501,6780433,101099.89,39.01,0
653200083,653199136,6780433,101098.625,39.01,0
653330000,653329037,6780433,101095.36,39.01,0
653416546,653415600,6780433,101099.39,39.01,0
653503148,653502201,6780433,101099.64,39.02,0
653633047,653632101,6780433,101095.36,39.02,0
653719689,653718742,6780433,101097.875,39.02,0
