timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
648451762,648261188,3407898,-0.0007281992,0.00013847585,9.051953e-05,0.15,1.9219156e-07,1.9724848e-07,4.4900403e-07,3407898,-0.012642363,-0.056788422,-0.022035386,0.4,0.0006750224,0.00050828035,1.1258889e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
648551719,648361210,3407898,-0.00073199585,0.00011443838,7.687294e-05,0.15,1.9273205e-07,1.9808462e-07,4.4926e-07,3407898,-0.013792866,-0.06688707,-0.022176176,0.4,0.00067475834,0.0004907279,1.126151e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
648651726,648461188,3407898,-0.00074335636,9.1003334e-05,5.478573e-05,0.15,1.9327042e-07,1.9892494e-07,4.495671e-07,3407898,-0.0147748655,-0.076554626,-0.022353979,0.4,0.00067448703,0.00047359127,1.12637235e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
648751744,648561189,3407898,-0.00076378376,6.846209e-05,2.3134296e-05,0.15,1.9380575e-07,1.997724e-07,4.4991637e-07,3407898,-0.015549839,-0.08567304,-0.022575306,0.4,0.0006742128,0.00045701966,1.1265589e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
648851696,648661210,3407898,-0.000761406,5.0776813e-05,5.170168e-06,0.15,1.9436942e-07,2.006292e-07,4.503098e-07,3407898,-0.015792672,-0.08670413,-0.022554347,0.4,0.000673946,0.000443589,1.1270088e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
649251740,649061187,3407898,-0.00078265247,-5.709441e-06,-0.00010264924,0.15,1.9663484e-07,2.0416503e-07,4.5196225e-07,3407898,-0.015840687,-0.085456334,-0.02258388,0.4,0.0006729381,0.00039815888,1.1289641e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
649451732,649261211,3407898,-0.0007973397,-2.3880628e-05,-0.0001675472,0.15,1.9776294e-07,2.0601152e-07,4.5269167e-07,3407898,-0.015676433,-0.084192194,-0.022617694,0.4,0.00067250803,0.00038061925,1.1300759e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
649656660,649461190,3407898,-0.00081260316,-3.5060202e-05,-0.00023623751,0.15,1.9887499e-07,2.0790688e-07,4.532685e-07,3407898,-0.015467857,-0.082980044,-0.022655137,0.4,0.00067214126,0.00036628448,1.13128535e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
649856659,649666210,3407898,-0.000828793,-3.9778948e-05,-0.00030463134,0.15,1.9996243e-07,2.0984233e-07,4.5365718e-07,3407898,-0.015228363,-0.08179791,-0.022694735,0.4,0.00067183905,0.00035478646,1.1325894e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
650056683,649866188,3407898,-0.00084622175,-3.8868784e-05,-0.00036867388,0.15,2.0102647e-07,2.1180085e-07,4.5384286e-07,3407898,-0.014974464,-0.08069246,-0.02273572,0.4,0.0006716004,0.00034579175,1.133981e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
