timestamp,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],x,y,z,nav_state,output[0],output[1],output[2],output[3]
649842730,0.22860494,6.0975037,7.5984583,-0.8304141,2.75994,-0.20313185,2,1000.0,1000.0,1000.0,1000.0
649847730,0.23257239,6.172954,7.665682,-0.8304141,2.75994,-0.20313185,2,1000.0,1000.0,1000.0,1000.0
649852729,0.2796944,6.2137823,7.7354054,-0.8304141,2.75994,-0.20313185,2,1000.0,1000.0,1000.0,1000.0
649857730,0.3247091,6.292877,7.77344,-0.8304141,2.75994,-0.20313185,2,1000.0,1000.0,1000.0,1000.0
649862729,0.36910012,6.3602777,7.861692,-0.8304141,2.75994,-0.20313185,2,1000.0,1000.0,1000.0,1000.0
649867729,0.3893808,6.4413123,7.9655657,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649872773,0.41354162,6.5547667,8.052379,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649877730,0.43554503,6.594189,8.0907,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649882729,0.48808327,6.56445,8.102603,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649887730,0.51166475,6.528366,8.094565,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649892729,0.537193,6.4694676,8.077914,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649897729,0.5555194,6.4522877,8.04616,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649902730,0.55018425,6.450348,7.997648,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649907773,0.5537646,6.393325,7.9477563,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649912730,0.52450305,6.3368015,7.8875203,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649917730,0.5444875,6.186144,7.818573,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649922730,0.5537448,6.042774,7.7370563,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649927730,0.5290541,5.965472,7.652986,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649932729,0.4727465,5.906145,7.597034,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649937729,0.4049109,5.8736343,7.5112844,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649942774,0.36212057,5.816056,7.463361,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649947730,0.29800293,5.7883754,7.403761,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649952730,0.2699371,5.7286115,7.422217,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649957729,0.22592479,5.6654253,7.458721,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649962729,0.16947407,5.639465,7.48206,-0.81999946,2.7353141,-0.20768026,2,1000.0,1000.0,1000.0,1000.0
649967730,0.08375914,5.6681323,7.5085626,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
649972729,-0.0053866985,5.725939,7.520116,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
649977774,-0.06316812,5.787367,7.6225257,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
649982729,-0.10708257,5.8269124,7.6934843,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
649987730,-0.13075522,5.8362355,7.7652526,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
649992729,-0.12626275,5.86453,7.8573713,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
649997730,-0.16828752,5.9080305,7.8999343,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
650002729,-0.19364527,5.9495068,7.9137926,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
650007729,-0.23933807,6.0266876,7.948082,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
650012774,-0.21666156,6.091343,8.011248,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
650017730,-0.21016295,6.102871,8.060449,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
650022729,-0.17422561,6.074418,8.031775,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
650027729,-0.11759163,6.02865,8.000296,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
650032730,-0.08257551,6.04576,7.915447,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
650037730,-0.05742,6.0202513,7.8638167,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
650042729,-0.02183281,6.0162654,7.80959,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
650047773,0.030467909,6.028156,7.7605596,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
650052729,0.09775258,5.99225,7.7051034,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
650057730,0.16705768,5.953542,7.6460075,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
650062729,0.2463757,5.869526,7.562322,-0.8093834,2.710862,-0.21396127,2,1000.0,1000.0,1000.0,1000.0
650067729,0.3171887,5.8521824,7.479209,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650072729,0.36285982,5.890217,7.4681125,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650077729,0.41904616,5.9290056,7.4666104,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650082775,0.47029316,5.972445,7.488613,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650087730,0.5237417,5.9868503,7.50896,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650092729,0.58959186,5.982204,7.515136,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650097730,0.6088516,6.0112586,7.5194182,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650102730,0.639278,6.0706043,7.5918493,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650107729,0.6286957,6.1425138,7.660574,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650112729,0.61844873,6.2472506,7.762427,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
